,LogTime,Epc,Rssi,Reader,Ant,TimeStamp,EmitPower,Frequency,Latency
0,2019-11-07-18:30:01,epc_0,-55,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,866300,113
1,2019-11-07-18:30:01,epc_28,-57,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,866300,113
2,2019-11-07-18:30:01,epc_16,-50,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,866300,113
3,2019-11-07-18:30:01,epc_35,-59,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,866300,113
4,2019-11-07-18:30:01,epc_2,-45,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,866300,113
5,2019-11-07-18:30:01,epc_30,-49,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,866300,113
6,2019-11-07-18:30:01,epc_13,-62,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,866300,113
7,2019-11-07-18:30:01,epc_30,-48,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
8,2019-11-07-18:30:01,epc_16,-45,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
9,2019-11-07-18:30:01,epc_1,-44,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
10,2019-11-07-18:30:01,epc_25,-51,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
11,2019-11-07-18:30:01,epc_24,-59,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
12,2019-11-07-18:30:01,epc_2,-49,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
13,2019-11-07-18:30:01,epc_6,-52,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
14,2019-11-07-18:30:01,epc_15,-52,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
15,2019-11-07-18:30:01,epc_14,-68,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
16,2019-11-07-18:30:01,epc_7,-56,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
17,2019-11-07-18:30:01,epc_26,-64,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
18,2019-11-07-18:30:01,epc_32,-57,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
19,2019-11-07-18:30:01,epc_31,-52,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
20,2019-11-07-18:30:01,epc_29,-59,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
21,2019-11-07-18:30:01,epc_4,-55,2xj6BqqmmTkptv2KxA,1,1573151401837,23.0,865700,113
22,2019-11-07-18:30:01,epc_33,-54,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
23,2019-11-07-18:30:01,epc_22,-45,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
24,2019-11-07-18:30:01,epc_10,-60,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
25,2019-11-07-18:30:01,epc_19,-48,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
26,2019-11-07-18:30:01,epc_13,-56,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
27,2019-11-07-18:30:01,epc_36,-58,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
28,2019-11-07-18:30:01,epc_34,-66,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
29,2019-11-07-18:30:01,epc_23,-55,2xj6BqqmmTkptv2KxA,1,1573151401876,23.0,865700,74
30,2019-11-07-18:30:02,epc_44,-67,2xj6BqqmmTkptv2KxA,4,1573151401997,23.0,867500,153
33,2019-11-07-18:30:02,epc_10,-69,2xj6BqqmmTkptv2KxA,4,1573151401997,23.0,867500,153
34,2019-11-07-18:30:02,epc_5,-66,2xj6BqqmmTkptv2KxA,1,1573151401997,23.0,866300,153
35,2019-11-07-18:30:02,epc_37,-61,2xj6BqqmmTkptv2KxA,1,1573151402057,23.0,866300,93
36,2019-11-07-18:30:02,epc_25,-49,2xj6BqqmmTkptv2KxA,1,1573151402057,23.0,866300,93
37,2019-11-07-18:30:02,epc_31,-42,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
38,2019-11-07-18:30:02,epc_33,-60,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
39,2019-11-07-18:30:02,epc_7,-53,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
40,2019-11-07-18:30:02,epc_24,-66,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
41,2019-11-07-18:30:02,epc_17,-57,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
42,2019-11-07-18:30:02,epc_1,-47,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
43,2019-11-07-18:30:02,epc_6,-45,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
44,2019-11-07-18:30:02,epc_14,-64,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
45,2019-11-07-18:30:02,epc_18,-49,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
46,2019-11-07-18:30:02,epc_3,-45,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
47,2019-11-07-18:30:02,epc_19,-54,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
48,2019-11-07-18:30:02,epc_36,-61,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
49,2019-11-07-18:30:02,epc_28,-62,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
50,2019-11-07-18:30:02,epc_10,-45,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
51,2019-11-07-18:30:02,epc_0,-62,2xj6BqqmmTkptv2KxA,1,1573151402058,23.0,866300,92
52,2019-11-07-18:30:02,epc_3,-52,2xj6BqqmmTkptv2KxA,1,1573151402097,23.0,865700,53
53,2019-11-07-18:30:02,epc_11,-60,2xj6BqqmmTkptv2KxA,1,1573151402097,23.0,865700,53
54,2019-11-07-18:30:02,epc_17,-63,2xj6BqqmmTkptv2KxA,1,1573151402097,23.0,865700,53
55,2019-11-07-18:30:02,epc_36,-62,2xj6BqqmmTkptv2KxA,1,1573151402097,23.0,865700,53
56,2019-11-07-18:30:02,epc_22,-57,2xj6BqqmmTkptv2KxA,1,1573151402097,23.0,865700,53
57,2019-11-07-18:30:02,epc_14,-71,2xj6BqqmmTkptv2KxA,1,1573151402097,23.0,865700,53
58,2019-11-07-18:30:02,epc_35,-50,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
59,2019-11-07-18:30:02,epc_18,-44,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
60,2019-11-07-18:30:02,epc_25,-59,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
61,2019-11-07-18:30:02,epc_37,-65,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
62,2019-11-07-18:30:02,epc_6,-45,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
63,2019-11-07-18:30:02,epc_5,-51,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
64,2019-11-07-18:30:02,epc_23,-59,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
65,2019-11-07-18:30:02,epc_24,-68,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
66,2019-11-07-18:30:02,epc_28,-64,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
67,2019-11-07-18:30:02,epc_2,-52,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
68,2019-11-07-18:30:02,epc_33,-66,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
69,2019-11-07-18:30:02,epc_31,-66,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
70,2019-11-07-18:30:02,epc_10,-61,2xj6BqqmmTkptv2KxA,1,1573151402195,23.0,865700,155
71,2019-11-07-18:30:02,epc_80,-66,2xj6BqqmmTkptv2KxA,3,1573151402195,23.0,867500,155
72,2019-11-07-18:30:02,epc_62,-67,2xj6BqqmmTkptv2KxA,3,1573151402195,23.0,867500,155
73,2019-11-07-18:30:02,epc_72,-67,2xj6BqqmmTkptv2KxA,3,1573151402195,23.0,867500,155
74,2019-11-07-18:30:02,epc_20,-68,2xj6BqqmmTkptv2KxA,3,1573151402195,23.0,867500,155
75,2019-11-07-18:30:02,epc_64,-72,2xj6BqqmmTkptv2KxA,3,1573151402195,23.0,867500,155
76,2019-11-07-18:30:02,epc_32,-68,2xj6BqqmmTkptv2KxA,3,1573151402195,23.0,867500,155
77,2019-11-07-18:30:02,epc_25,-58,2xj6BqqmmTkptv2KxA,3,1573151402236,23.0,867500,114
78,2019-11-07-18:30:02,epc_89,-64,2xj6BqqmmTkptv2KxA,3,1573151402236,23.0,867500,114
79,2019-11-07-18:30:02,epc_15,-63,2xj6BqqmmTkptv2KxA,3,1573151402236,23.0,867500,114
80,2019-11-07-18:30:02,epc_54,-70,2xj6BqqmmTkptv2KxA,3,1573151402236,23.0,867500,114
81,2019-11-07-18:30:02,epc_88,-62,2xj6BqqmmTkptv2KxA,3,1573151402236,23.0,867500,114
